"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Pver_Sc0000139_size537088" 19915.5184387785 0.110899380648773 0.0289391700007001 3.83215484915737 0.000127025740949008 0.0375043500151945
"Pver_Sc0000156_size509041" 25186.3116246335 0.210301584545235 0.0540632924817819 3.88991448525081 0.000100279553287626 0.0322991324816417
"Pver_Sc0000172_size480810" 14862.8346366607 -0.207731216402179 0.0491512140468982 -4.22636999777808 2.37491373785079e-05 0.00934924374800595
"Pver_Sc0000556_size184003" 8974.22014166475 0.32114015059735 0.0518710703323953 6.19112249929393 5.97372594145445e-10 2.11649110105731e-06
"Pver_Sc0000853_size79572" 3344.72655266582 -0.219176033758557 0.0596259948416192 -3.67584699158045 0.000237061581669873 0.0468676951898545
"Pver_Sc0000968_size64176" 623.773551834652 0.540349937654156 0.148332000636315 3.64284129746892 0.000269645099392292 0.0487926328595308
"Pver_Sc0001125_size43131" 1034.75364311497 2.47370318817896 0.559020035466721 4.42507071524491 9.64106963521105e-06 0.00570987347058104
"Pver_Sc0001315_size24563" 1246.42141401726 1.64859143373851 0.44337181019986 3.71830458277301 0.000200564357171391 0.0444124698411398
"Pver_Sc0001356_size25637" 128.936233412027 2.32436373342843 0.560934683274274 4.14373331287114 3.41697089242683e-05 0.0121063278718683
"Pver_Sc0001408_size22845" 35.712744292212 1.87883100018349 0.443915501990306 4.23240682463149 2.31203707294166e-05 0.00934924374800595
"Pver_Sc0001524_size18081" 25.0134837327245 2.81391960609128 0.576216469426912 4.8834418233306 1.0424991783654e-06 0.00123119152964954
"Pver_Sc0001709_size13140" 7.82101142276489 2.16521052160484 0.598630983213557 3.61693694833771 0.000298109883700998 0.0487926328595308
"Pver_Sc0001979_size9044" 15.128854010115 -1.57546782037945 0.433831051889047 -3.63152386976296 0.000281752591325235 0.0487926328595308
"Pver_Sc0002476_size5736" 780.086353935057 0.360723819576764 0.0954610053589677 3.77875571517723 0.000157613946775325 0.0422648928206594
"Pver_Sc0009607_size821" 9.27995450118624 -1.1759816576921 0.313843225986384 -3.74703533586262 0.000178936887471039 0.0422648928206594
"Pver_xfSc0000044_size69330" 279.770590230438 1.14319172988713 0.258381477647525 4.42443374925906 9.66955710513301e-06 0.00570987347058104
"Pver_xfSc0000188_size16086" 5.29691783195744 -1.68346779447409 0.458121129171159 -3.67472200533481 0.000238108527636856 0.0468676951898545
"Pver_xfSc0001443_size4587" 13.2809839696534 -1.70496892560861 0.453117230322018 -3.76275456220664 0.00016805210927795 0.0422648928206594
"Pver_xfSc0006440_size1274" 8.18839797477294 -2.21782613210908 0.471571936187216 -4.70304944361361 2.56304319499712e-06 0.0022702155099687
"Pver_xfSc0006736_size1221" 11.1881790170167 -2.16480517568003 0.3603086926728 -6.00819580460667 1.87599196368816e-09 3.32331976367358e-06
"Pver_xpSc0121218_size45261" 501.706568001195 1.76338604269962 0.407611795770483 4.32614085509083 1.51744409444149e-05 0.00768043489515171
"Pver_xpSc0121370_size11769" 5.51631572469525 3.48717965896056 0.965244168475006 3.61274356567206 0.000302974293793304 0.0487926328595308
