#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
transcript::Pver_Sc0000000_size2095917:23882-24557	56	0.43718	8.61016845703	1	0.0587061	noncoding
transcript::Pver_Sc0000000_size2095917:126924-127873	121	0.34477	9.98480224609	1	0.291075	noncoding
transcript::Pver_Sc0000000_size2095917:205923-206376	32	0.3095	7.83551025391	-1	0.100248	noncoding
transcript::Pver_Sc0000000_size2095917:405496-413565	107	0.28467	11.3185424805	1	0.0918163	noncoding
transcript::Pver_Sc0000000_size2095917:412155-420465	136	0.37554	8.26043701172	1	0.649228	coding
transcript::Pver_Sc0000000_size2095917:434863-435528	16	0.36259	11.1660766602	1	0.00936478	noncoding
transcript::Pver_Sc0000000_size2095917:1021077-1024475	61	0.39075	8.27410888672	1	0.0429824	noncoding
transcript::Pver_Sc0000000_size2095917:1021287-1025362	61	0.34095	8.27410888672	1	0.0278471	noncoding
transcript::Pver_Sc0000000_size2095917:1021364-1022252	41	0.34029	6.69525146484	1	0.0101772	noncoding
transcript::Pver_Sc0000000_size2095917:1021364-1024919	61	0.34779	8.27410888672	1	0.0292054	noncoding
transcript::Pver_Sc0000000_size2095917:1054086-1055340	82	0.35258	9.09796142578	1	0.0829769	noncoding
transcript::Pver_Sc0000000_size2095917:1054086-1055340	82	0.35258	9.09796142578	1	0.0829769	noncoding
transcript::Pver_Sc0000000_size2095917:1108534-1111163	109	0.35242	8.94793701172	1	0.232365	noncoding
transcript::Pver_Sc0000000_size2095917:1111275-1113623	77	0.35371	9.19964599609	1	0.0690483	noncoding
transcript::Pver_Sc0000000_size2095917:1178238-1182520	131	0.33387	9.87030029297	1	0.332969	noncoding
transcript::Pver_Sc0000000_size2095917:1680647-1681150	16	0.35645	12.307434082	1	0.00880439	noncoding
transcript::Pver_Sc0000000_size2095917:1833205-1835012	67	0.29479	9.40875244141	1	0.0335151	noncoding
transcript::Pver_Sc0000000_size2095917:1840514-1842004	305	0.41001	9.90216064453	1	0.999929	coding
transcript::Pver_Sc0000000_size2095917:1894446-1895617	95	0.33662	9.81964111328	1	0.117667	noncoding
transcript::Pver_Sc0000000_size2095917:6347-11432	66	0.32162	9.59954833984	1	0.0369141	noncoding
transcript::Pver_Sc0000000_size2095917:56914-57830	122	0.38735	7.75421142578	1	0.550306	coding
transcript::Pver_Sc0000000_size2095917:506981-509653	88	0.32469	5.84002685547	1	0.127779	noncoding
transcript::Pver_Sc0000000_size2095917:514137-515114	74	0.4522	8.83648681641	1	0.189098	noncoding
transcript::Pver_Sc0000000_size2095917:668651-691345	94	0.28719	9.21856689453	1	0.0730975	noncoding
transcript::Pver_Sc0000000_size2095917:812775-816242	68	0.32557	8.49102783203	1	0.0349042	noncoding
transcript::Pver_Sc0000000_size2095917:1019367-1020625	68	0.37512	10.2522583008	1	0.0669545	noncoding
transcript::Pver_Sc0000000_size2095917:1025506-1027218	54	0.34775	9.69647216797	1	0.0279316	noncoding
transcript::Pver_Sc0000000_size2095917:1114183-1115247	41	0.33156	10.0009155273	1	0.0171563	noncoding
